Model Yr,Species,1st day of collections,Position,# Released,# Recaptured,% Efficiency (not transformed),Discharge (cfs),Notes
2017,YCW,24-Mar-17,Upper,150,20,14,286,
2017,YCW,28-Mar-17,Upper,150,31,21.3,275,
2017,YCW,30-Mar-17,Upper,149,21,14.8,328,
2017,YCW,16-Apr-17,Upper,123,8,7.3,530,
2017,YCW,21-Apr-17,Upper,269,20,7.8,621,
2017,YCW,26-Apr-17,Upper,212,28,13.7,770,
2017,YCW,29-Apr-17,Upper,164,22,14,802,
2017,SBC,16-Jun-16,Upper,265,21,7.9,621,
2017,SBC,26-Jun-16,Upper,241,32,13.3,625,
2017,SBC,1-Jul-16,Upper,326,34,10.4,879,
2017,SBC,7-Jul-16,Upper,246,34,13.8,512,
2017,SBC,11-Jul-16,Upper,80,13,16.3,494,
2017,SBC,27-Jul-16,Upper,101,22,21.8,427,
2017,SBC,4-Aug-16,Upper,209,96,45.9,290,
2017,SBC,10-Aug-16,Upper,162,51,31.5,230,
2017,SBC,12-Oct-16,Upper,199,73,36.7,201,
2017,SBC,17-Oct-16,Upper,185,37,20,385,
2017,SBC,28-Oct-16,Upper,200,22,11,593,
2017,SBC,4-Nov-16,Upper,156,17,10.9,417,
2017,SBC,12-Jul-17,Upper,113,16,15,759,
2017,SBC,1-Aug-17,Upper,138,32,23.9,307,
2017,SBC,9-Aug-17,Upper,94,14,16,247,
2017,SBC,15-Aug-17,Upper,100,40,41,205,
2017,SBC,25-Aug-17,Low Flow,72,4,6.9,152,
2017,SBC,14-Sep-17,Low Flow,77,6,9.1,106,
2017,SBC,20-Sep-17,Low Flow,75,15,21.3,102,
2017,SBC,24-Sep-17,Low Flow,63,16,27,95,
2017,SBC,8-Nov-17,Low Flow,102,6,6.9,159,
2016,YCW,6-Mar-16,Upper,132,15,12.1,519,
2016,YCW,9-Mar-16,Upper,106,12,12.3,558,
2016,YCW,12-Mar-16,Upper,126,14,11.9,534,
2016,YCW,2-Apr-16,Upper,178,11,6.7,801,
2016,YCW,4-Apr-16,Upper,240,13,5.8,1216,
2016,SBC,16-Jun-16,Upper,265,21,7.9,621,
2016,SBC,26-Jun-16,Upper,241,32,13.3,625,
2016,SBC,1-Jul-16,Upper,326,34,10.4,879,
2016,SBC,7-Jul-16,Upper,246,34,13.8,512,
2016,SBC,11-Jul-16,Upper,80,13,16.3,494,
2016,SBC,27-Jul-16,Upper,101,22,21.8,427,
2016,SBC,4-Aug-16,Upper,209,96,45.9,290,
2016,SBC,10-Aug-16,Upper,162,51,31.5,230,
2016,SBC,12-Oct-16,Upper,199,73,36.7,201,
2016,SBC,17-Oct-16,Upper,185,37,20,385,
2016,SBC,28-Oct-16,Upper,200,22,11,593,
2016,SBC,4-Nov-16,Upper,156,17,10.9,417,
2015,YCW,19-Mar-14,Upper,101,22,22.8,406,
2015,YCW,29-Mar-14,Upper,171,28,17,328,
2015,YCW,27-Mar-14,Upper,146,36,25.3,311,
2015,YCW,8-Apr-14,Upper,110,20,19.1,488,
2015,YCW,8-Apr-14,Upper,286,53,18.9,491,
2015,YCW,10-Apr-14,Upper,92,10,12,667,
2015,YCW,10-May-14,Upper,90,7,8.9,1344,
2015,YCW,14-Mar-15,Upper,123,33,27.6,515,
2015,YCW,17-Mar-15,Upper,98,21,22.4,907,
2015,YCW,20-Mar-15,Upper,124,23,19.4,751,
2015,YCW,24-Mar-15,Upper,104,16,16.3,677,
2015,YCW,31-Mar-15,Upper,152,20,13.8,805,
2015,YCW,8-Apr-15,Upper,122,25,21.3,565,
2015,YCW,22-Apr-15,Upper,219,25,11.9,716,
2015,YCW,13-May-15,Upper,160,32,20.6,1009,
2015,YCW,21-May-15,Upper,71,10,15.5,1406,
2015,SBC,7/16/2002,Lower,181,10,6.1,1180,
2015,SBC,7/19/2002,Lower,200,25,13,1075,
2015,SBC,7/21/2002,Lower,200,27,14,926,
2015,SBC,7/30/2002,Lower,200,39,20,670,
2015,SBC,8/2/2002,Lower,200,52,26.5,468,
2015,SBC,8/8/2002,Lower,200,53,27,404,
2015,SBC,7/10/2003,Lower,188,28,15.4,639,
2015,SBC,7/14/2003,Lower,107,18,17.8,535,
2015,SBC,7/18/2003,Lower,200,38,19.5,436,
2015,SBC,7/27/2003,Lower,200,56,28.5,321,
2015,SBC,7/30/2003,Lower,200,46,23.5,287,
2015,SBC,24-Jun-15,Lower,98,26,27.6,400,
2015,SBC,22-Jun-13,Lower,138,17,13,1122,
2015,SBC,14-Jun-13,Lower,85,5,7.1,1148,
2015,SBC,5-Jul-14,Upper,135,8,6.7,1141,
2015,SBC,9-Jul-14,Upper,171,23,14,1049,
2015,SBC,16-Jul-14,Upper,132,24,18.9,883,
2015,SBC,1-Nov-14,Upper,114,17,15.8,618,
2015,SBC,25-Jul-14,Upper,202,55,27.7,507,
2015,SBC,15-Aug-14,Upper,196,69,35.7,422,
2015,SBC,31-Jul-14,Upper,108,39,37,385,
2015,SBC,5-Aug-14,Upper,204,46,23,332,
2015,SBC,25-Oct-14,Upper,150,39,26.7,317,
2015,SBC,12-Aug-14,Upper,106,23,22.6,282,
2015,SBC,27-Aug-14,Upper,189,70,37.6,167,
2015,SBC,7-Aug-15,Upper,100,26,27,145,
2015,SBC,14-Jul-15,Upper,100,20,21,238,
2015,SBC,7-Sep-15,Upper,112,27,25,135,
2014,SBC,1-Jul-14,Upper,135,8,6.7,1141,
2014,SBC,8-Jul-14,Upper,171,23,14,1049,
2014,SBC,15-Jul-14,Upper,132,24,18.9,883,
2014,SBC,24-Jul-14,Upper,207,55,27.1,507,
2014,SBC,30-Jul-14,Upper,109,36,33.9,385,
2014,SBC,4-Aug-14,Upper,202,47,23.8,332,
2014,SBC,11-Aug-14,Upper,107,23,22.4,282,
2014,SBC,14-Aug-14,Upper,196,67,34.7,425,
2014,SBC,21-Aug-14,Upper,103,33,33,222,
2014,SBC,26-Aug-14,Upper,192,67,35.4,169,
2014,SBC,12-Sep-14,Upper,69,25,37.7,120,
2014,SBC,24-Oct-14,Upper,150,39,26.7,317,
2014,SBC,31-Oct-14,Upper,114,17,15.8,767,
2014,SBC,7/16/2002,Lower,181,10,6.1,1180,
2014,SBC,7/19/2002,Lower,200,25,13,1075,
2014,SBC,7/21/2002,Lower,200,27,14,926,
2014,SBC,7/30/2002,Lower,200,39,20,670,
2014,SBC,8/2/2002,Lower,200,52,26.5,468,
2014,SBC,8/8/2002,Lower,200,53,27,404,
2014,SBC,7/10/2003,Lower,188,28,15.4,639,
2014,SBC,7/14/2003,Lower,107,18,17.8,535,
2014,SBC,7/18/2003,Lower,200,38,19.5,436,
2014,SBC,7/27/2003,Lower,200,56,28.5,321,
2014,SBC,7/30/2003,Lower,200,46,23.5,287,
2014,SBC,3/27/2013,Lower,154,14,9.7,268,
2014,SBC,4/24/2013,Lower,410,17,4.4,627,
2014,SBC,6/14/2013,Lower,85,4,5.9,1148,
2014,SBC,6/22/2013,Lower,138,17,13,1122,
2014,YCW,3/19/2014,Lower,102,21,21.6,410,
2014,YCW,3/29/2014,Lower,170,28,17.1,328,
2014,YCW,3/26/2014,Lower,146,26,18.5,311,
2014,YCW,4/8/2014,Lower,110,20,19.1,488,
2014,YCW,4/8/2014,Lower,286,53,18.9,491,
2014,YCW,4/10/2014,Lower,94,10,11.7,667,
2014,YCW,5/10/2014,Lower,90,7,8.9,1344,
2013,YCW,3/17/2013,Lower,99,11,12.1,387,
2013,YCW,3/19/2013,Lower,185,27,15.1,342,
2013,YCW,4/3/2013,Lower,150,16,11.3,711,
2013,YCW,4/8/2013,Lower,101,8,8.9,1178,
2013,YCW,4/12/2013,Lower,125,12,10.4,969,
2013,YCW,4/16/2013,Lower,113,14,13.3,694,
2013,SBC,7/16/2002,Lower,181,10,6.1,1180,
2013,SBC,7/19/2002,Lower,200,25,13,1075,
2013,SBC,7/21/2002,Lower,200,27,14,926,
2013,SBC,7/30/2002,Lower,200,39,20,670,
2013,SBC,8/2/2002,Lower,200,52,26.5,468,
2013,SBC,8/8/2002,Lower,200,53,27,404,
2013,SBC,7/10/2003,Lower,188,28,15.4,639,
2013,SBC,7/14/2003,Lower,107,18,17.8,535,
2013,SBC,7/18/2003,Lower,200,38,19.5,436,
2013,SBC,7/27/2003,Lower,200,56,28.5,321,
2013,SBC,7/30/2003,Lower,200,46,23.5,287,
2013,SBC,3/27/2013,Lower,154,14,9.7,268,
2013,SBC,4/24/2013,Lower,410,17,4.4,627,
2013,SBC,6/14/2013,Lower,85,4,5.9,1148,
2013,SBC,6/22/2013,Lower,138,17,13,1122,
2013,SBC,1-Jul-13,Upper,134,4,3.7,1656,
2013,SBC,7-Jul-13,Upper,402,65,16.4,918,
2013,SBC,10-Jul-13,Upper,93,16,18.3,844,
2013,SBC,10-Jul-13,Upper,92,15,17.4,844,
2013,SBC,13-Jul-13,Upper,265,53,20.4,541,
2013,SBC,13-Jul-13,Upper,94,21,23.4,542,
2013,SBC,17-Jul-13,Upper,112,31,28.6,578,
2013,SBC,17-Jul-13,Upper,41,11,29.3,559,
2013,SBC,28-Jul-13,Upper,118,38,33.1,331,
2013,SBC,31-Jul-13,Upper,122,44,36.9,317,
2013,SBC,12-Aug-13,Upper,108,50,47.2,361,
2013,SBC,16-Aug-13,Upper,101,38,38.6,226,
2013,SBC,26-Aug-13,Upper,70,21,31.4,164,
2012,YCW,4/11/2012,Lower,150,40,27.3,259,
2012,YCW,4/13/2012,Lower,100,17,18,330,
2012,YCW,4/15/2012,Lower,100,24,25,370,
2012,YCW,4/17/2012,Lower,100,21,22,400,
2012,YCW,4/20/2012,Lower,100,9,10,646,
2012,YCW,4/24/2012,Lower,68,5,8.8,1793,
2012,YCW,4/30/2012,Lower,75,7,10.7,1537,
2012,YCW,5/3/2012,Lower,67,7,11.9,1159,
2012,YCW,5/7/2012,Lower,57,4,8.8,1046,
2012,YCW,5/10/2012,Lower,110,5,5.5,1262,
2012,YCW,3/7/2012,Upper,44,20,47.7,129,
2012,YCW,3/15/2012,Upper,57,19,35.1,143,
2012,YCW,3/22/2012,Upper,67,19,29.9,125,
2012,YCW,3/30/2012,Upper,122,41,34.4,206,
2012,YCW,4/2/2012,Upper,149,53,36.2,181,
2012,YCW,3/15/2004,Upper,95,11,12.6,353,
2012,YCW,3/18/2004,Upper,118,3,3.4,406,
2012,YCW,3/21/2004,Upper,133,13,10.5,390,
2012,YCW,3/23/2004,Upper,119,5,5,533,
2012,YCW,3/13/2003,Upper,83,22,27.7,250,
2012,YCW,3/13/2001,Upper,42,20,50,114,
2012,YCW,3/15/2001,Upper,60,18,31.7,116,
2012,YCW,3/18/2001,Upper,65,19,30.8,118,
2012,YCW,3/24/2001,Upper,72,27,38.9,140,
2012,YCW,3/27/2001,Upper,75,37,50.7,173,
2012,YCW,4/3/2001,Upper,75,30,41.3,154,
2012,YCW,4/20/2001,Upper,75,21,29.3,202,
2012,YCW,4/25/2001,Upper,100,28,29,310,
2012,SBC,7/6/2011,Upper,52,2,5.8,2187,
2012,SBC,7/10/2011,Upper,50,4,10,1447,
2012,SBC,7/15/2011,Upper,73,7,11,1308,
2012,SBC,7/22/2011,Upper,112,11,10.7,1177,
2012,SBC,7/26/2011,Upper,76,5,7.9,1205,
2012,SBC,7/29/2011,Upper,97,13,14.4,1088,
2012,SBC,8/1/2011,Upper,102,14,14.7,885,
2012,SBC,8/4/2011,Upper,108,19,18.5,831,
2012,SBC,8/8/2011,Upper,150,34,23.3,725,
2012,SBC,8/15/2011,Upper,158,45,29.1,496,
2012,SBC,8/18/2011,Upper,91,28,31.9,420,
2012,SBC,8/22/2011,Upper,147,35,24.5,427,
2012,SBC,8/25/2011,Upper,152,28,19.1,410,
2012,SBC,8/29/2011,Upper,148,41,28.4,352,
2012,SBC,9/1/2011,Upper,130,31,24.6,286,
2012,SBC,9/19/2011,Upper,71,14,21.1,180,
2012,SBC,10/3/2011,Upper,132,37,28.8,201,
2012,SBC,10/26/2011,Upper,104,15,15.4,165,
2012,SBC,11/1/2011,Upper,150,28,19.3,180,
2012,SBC,11/7/2011,Upper,111,25,23.4,139,
2011,YCW,3/11/2011,Lower,63,18,30.2,207,
2011,YCW,3/21/2011,Lower,36,9,27.8,206,
2011,YCW,3/30/2011,Lower,119,32,27.7,413,
2011,YCW,4/1/2011,Lower,105,14,14.3,733,
2011,YCW,4/4/2011,Lower,173,32,19.1,561,
2011,YCW,5/10/2011,Lower,100,6,7,981,
2011,YCW,6/6/2011,Lower,26,1,7.7,2580,
2011,SBC,7/9/2010,Upper,135,2,2.2,1611,
2011,SBC,7/15/2010,Upper,219,29,13.7,1026,
2011,SBC,7/21/2010,Upper,102,20,20.6,820,
2011,SBC,7/27/2010,Upper,142,39,28.2,634,
2011,SBC,8/1/2010,Upper,118,15,13.6,591,
2011,SBC,8/11/2010,Upper,169,52,31.4,345,
2011,SBC,8/19/2010,Upper,102,37,37.3,260,
2011,SBC,8/30/2010,Upper,80,19,25,182,
2011,SBC,9/3/2010,Upper,95,30,32.6,172,
2011,SBC,9/14/2010,Upper,77,15,20.8,163,
2011,SBC,11/5/2010,Upper,95,16,17.9,262,
2011,SBC,11/9/2010,Upper,121,22,19,280,
2011,SBC,11/17/2010,Upper,167,21,13.2,352,
2010,SBC,6/25/2009,Upper,201,13,7,783,
2010,SBC,6/30/2009,Upper,402,67,16.9,736,
2010,SBC,7/10/2009,Upper,196,27,14.3,480,
2010,SBC,7/27/2009,Upper,196,56,29.1,355,
2010,SBC,8/7/2009,Upper,117,38,33.3,213,
2010,SBC,8/14/2009,Upper,200,69,35,179,
2010,SBC,8/24/2009,Upper,200,48,24.5,141,
2010,SBC,10/23/2009,Upper,200,43,22,163,
2010,SBC,10/27/2009,Upper,200,32,16.5,420,
2010,SBC,10/30/2009,Upper,200,46,23.5,253,
2010,SBC,11/3/2009,Upper,207,32,15.9,371,
2010,SBC,11/17/2009,Upper,199,40,20.6,257,
2010,SBC,11/20/2009,Upper,156,40,26.3,232,
2010,SBC,11/24/2009,Upper,144,38,27.1,215,
2010,YCW & SBC,3/14/2008,Lower,124,42,34.7,144,Only used YCW
2010,YCW & SBC,3/17/2008,Lower,140,52,37.9,142,Only used YCW
2010,YCW & SBC,4/1/2008,Lower,122,22,18.9,134,Only used YCW
2010,YCW & SBC,4/4/2008,Lower,102,23,23.5,140,Only used YCW
2010,YCW & SBC,4/10/2008,Lower,100,28,29,144,Only used YCW
2010,YCW & SBC,4/13/2008,Lower,100,39,40,243,Only used YCW
2010,YCW & SBC,4/23/2008,Lower,102,32,32.4,248,Only used YCW
2010,YCW & SBC,4/27/2008,Lower,102,42,42.2,292,Only used YCW
2010,YCW & SBC,4/30/2008,Lower,102,10,10.8,391,Only used YCW
2010,YCW & SBC,5/2/2008,Lower,183,35,19.7,430,Only used YCW
2010,YCW & SBC,5/6/2008,Lower,138,1,1.4,863,"Only used YCW. From Lake Trap trial, not sure why it was used in Chiwawa Model - JW"
2010,YCW & SBC,5/14/2008,Lower,111,2,2.7,1141,"Only used YCW. From Lake Trap trial, not sure why it was used in Chiwawa Model - JW"
2010,YCW & SBC,3/11/2007,Lower,106,36,34.9,328,Only used YCW
2010,YCW & SBC,3/13/2007,Lower,204,12,6.4,918,Only used YCW
2010,YCW & SBC,3/16/2007,Lower,200,22,11.5,597,Only used YCW
2010,YCW & SBC,3/18/2007,Lower,146,14,10.3,724,Only used YCW
2010,YCW & SBC,3/20/2007,Lower,200,29,15,719,Only used YCW
2010,YCW & SBC,3/27/2007,Lower,107,4,4.7,1072,Only used YCW
2010,YCW & SBC,3/29/2007,Lower,154,17,11.7,877,Only used YCW
2010,YCW & SBC,3/31/2007,Lower,103,9,9.7,835,Only used YCW
2010,YCW & SBC,4/2/2007,Lower,125,13,11.2,678,Only used YCW
2010,YCW & SBC,3/14/2007,Lower,187,44,24.1,741,Only used YCW
2010,YCW & SBC,4/9/2007,Lower,282,10,3.9,1149,Only used YCW
2010,YCW & SBC,3/23/2009,Lower,112,30,27.7,136,Only used YCW
2010,YCW & SBC,3/27/2009,Lower,113,25,23,139,Only used YCW
2010,YCW & SBC,3/31/2009,Lower,173,58,34.1,136,Only used YCW
2010,YCW & SBC,4/9/2009,Lower,115,42,37.4,272,Only used YCW
2010,YCW & SBC,4/11/2009,Lower,181,42,23.8,286,Only used YCW
2010,YCW & SBC,4/15/2009,Lower,179,42,24,322,Only used YCW
2010,YCW & SBC,5/15/2009,Lower,206,40,19.9,873,Only used YCW
2010,YCW & SBC,3/10/2010,Lower,198,64,32.8,186,Only used YCW
2010,YCW & SBC,3/24/2010,Lower,121,34,28.9,216,Only used YCW
2010,YCW & SBC,3/30/2010,Lower,142,32,23.2,312,Only used YCW
2010,YCW & SBC,4/8/2010,Lower,211,62,29.9,258,Only used YCW
2010,YCW & SBC,4/9/2010,Lower,195,47,24.6,266,Only used YCW
2010,YCW & SBC,4/14/2010,Lower,156,43,28.2,253,Only used YCW
2009,SBC,7/12/2004,Upper,115,21,19.1,335,
2009,SBC,8/6/2004,Upper,119,44,37.8,199,
2009,SBC,8/26/2004,Upper,125,45,36.8,231,
2009,SBC,8/30/2004,Upper,137,46,34.3,152,
2009,SBC,8/6/2004,Upper,199,84,42.7,121,
2009,SBC,11/7/2004,Upper,158,65,41.8,150,
2009,SBC,11/11/2004,Upper,153,47,31.4,232,
2009,SBC,11/26/2004,Upper,146,61,42.5,152,
2009,SBC,11/27/2004,Upper,200,69,35,269,
2009,SBC,11/3/2003,Upper,189,50,27,294,
2009,SBC,10/31/2003,Upper,123,39,32.5,343,
2009,SBC,11/9/2002,Upper,200,92,46.5,96,
2009,SBC,7/27/2006,Upper,123,14,12.2,445,
2009,SBC,8/2/2006,Upper,199,70,35.7,250,
2009,SBC,8/16/2006,Upper,100,34,35,165,
2009,SBC,8/30/2006,Upper,100,30,31,115,
2009,SBC,9/21/2006,Upper,100,31,32,102,
2009,SBC,11/10/2006,Upper,200,13,7,674,
2009,SBC,11/12/2006,Upper,200,22,11.5,562,
2009,SBC,11/14/2006,Upper,200,32,16.5,446,
2009,SBC,11/18/2006,Upper,200,37,19,354,
2009,SBC,11/20/2006,Upper,200,39,20,330,
2009,SBC,11/22/2006,Upper,200,43,22,306,
2009,SBC,2007,Upper,159,29,18.9,460,"Cant find any trial similar to flow, sample size in 2007?"
2009,SBC,8/14/2007,Upper,107,43,41.1,220,
2009,SBC,9/4/2007,Upper,136,46,34.6,142,
2009,SBC,9/12/2007,Upper,114,47,42.1,122,
2009,SBC,9/18/2007,Upper,105,28,27.6,115,
2009,SBC,10/3/2007,Upper,264,63,24.2,146,
2009,SBC,11/15/2007,Upper,100,31,32,185,
2009,YCW & SBC,3/14/2008,Lower,124,42,34.7,144,YCW only
2009,YCW & SBC,3/17/2008,Lower,140,52,37.9,142,YCW only
2009,YCW & SBC,4/1/2008,Lower,122,22,18.9,134,YCW only
2009,YCW & SBC,4/4/2008,Lower,102,23,23.5,140,YCW only
